"","Date","Year","Month","Brand","Vehicle_Type_Group","Vehicle_Type","Model_Year","Fuel_Type","Gear","CCM","Horse_Power","Color","Body_Type","Seller","Seller_Status","Kilometers","Price"
"1",2020-05-12,2020,"5","Mercedes","Maybach S","S 560",2020,"Electricity","Automatic","3501-4000 cc","Don't Know","Black","Sedan","Galery","0 km",0,3360000
"2",2020-04-18,2020,"4","Mercedes","Maybach S","S 560",2020,"Electricity","Automatic","3501-4000 cc","Don't Know","Black","Sedan","Galery","0 km",0,3360000
"3",2020-04-18,2020,"4","Mercedes","G Series","63 AMG",2020,"Electricity","Automatic","3501-4000 cc","Don't Know","Black","Off-road Vehicle","Galery","0 km",0,3310000
"4",2020-04-18,2020,"4","Mercedes","G Series","63 AMG",2020,"Electricity","Automatic","3501-4000 cc","Don't Know","White","Off-road Vehicle","Galery","0 km",0,3300000
"5",2020-04-17,2020,"4","Mercedes","G Series","63 AMG",2020,"Electricity","Automatic","3501-4000 cc","Don't Know","Black","Off-road Vehicle","Galery","2nd Hand",900,3250000
"6",2020-04-17,2020,"4","Mercedes","G Series","63 AMG",2020,"Electricity","Automatic","3501-4000 cc","Don't Know","Black","Off-road Vehicle","Galery","0 km",0,3250000
"7",2020-04-17,2020,"4","Audi","RS Q8","4.0 TFSI",2020,"Electricity","Automatic","3501-4000 cc","Don't Know","White","Off-road Vehicle","Galery","0 km",0,2720000
"8",2020-04-18,2020,"4","Mercedes","G Series","400 D",2020,"Diesel","Automatic","2501-3000 cc","Don't Know","Black","Off-road Vehicle","Galery","0 km",0,2720000
"9",2020-04-17,2020,"4","Audi","RS Q8","4.0 TFSI",2020,"Electricity","Automatic","3501-4000 cc","Don't Know","Smoked","Off-road Vehicle","Galery","0 km",0,2680000
"10",2020-04-18,2020,"4","Audi","RS","RS 6",2020,"Electricity","Automatic","1300 cc and below","Don't Know","Black","Station Wagon","Galery","2nd Hand",250,2550000
"11",2020-04-18,2020,"4","Audi","RS","RS 6",2020,"Electricity","Automatic","1300 cc and below","Don't Know","Black","Station Wagon","Galery","0 km",0,2500000
"12",2020-05-17,2020,"5","Porsche","911","Turbo S",2016,"Electricity","Automatic","3501-4000 cc","Don't Know","Black","Sport / Coupe","Galery","2nd Hand",21861,2495000
"13",2020-05-12,2020,"5","Land Rover","Other","Other",2020,"Diesel","Automatic","2501-3000 cc","Don't Know","Black","Off-road Vehicle","Galery","0 km",0,2425000
"14",2020-04-22,2020,"4","Land Rover","Other","Other",2020,"Diesel","Automatic","2501-3000 cc","Don't Know","Black","Off-road Vehicle","Galery","0 km",0,2390000
"15",2020-05-12,2020,"5","Porsche","Panamera","Other",2020,"Hybrid","Automatic","2501-3000 cc","Don't Know","Black","Hatchback 5 Doors","Galery","0 km",0,2375000
